;regiao;estado;municipio;coduf;codmun;codRegiaoSaude;nomeRegiaoSaude;data;semanaEpi;populacaoTCU2019;casosAcumulado;casosNovos;obitosAcumulado;obitosNovos;interior/metropolitana;Acumulados_100mil;ObitosAcumulados_100mil
2350;Sudeste;MG;Cachoeira Dourada;31;310980.0;31073.0;ITUIUTABA;2021-02-25;8;2692.0;106;5;0;0;0.0;0.00106;0.0
2351;Sudeste;MG;Caetanópolis;31;310990.0;31024.0;SETE LAGOAS;2021-02-25;8;11624.0;542;5;4;0;0.0;0.00542;4e-05
2352;Sudeste;MG;Caeté;31;311000.0;31016.0;BELO HORIZONTE/ NOVA LIMA/ CAETE ;2021-02-25;8;44718.0;990;0;32;0;1.0;0.0099;0.00032
2353;Sudeste;MG;Caiana;31;311010.0;31042.0;CARANGOLA;2021-02-25;8;5496.0;85;0;2;0;0.0;0.00085;2e-05
2354;Sudeste;MG;Cajuri;31;311020.0;31061.0;VICOSA;2021-02-25;8;3987.0;180;0;1;0;0.0;0.0018;1e-05
2355;Sudeste;MG;Caldas;31;311030.0;31006.0;POCOS DE CALDAS;2021-02-25;8;14480.0;391;6;12;0;0.0;0.00391;0.00012
2356;Sudeste;MG;Camacho;31;311040.0;31089.0;CAMPO BELO;2021-02-25;8;2901.0;46;0;1;0;0.0;0.00046;1e-05
2357;Sudeste;MG;Camanducaia;31;311050.0;31007.0;POUSO ALEGRE;2021-02-25;8;21770.0;1674;0;20;0;0.0;0.01674;0.0002
2358;Sudeste;MG;Cambuí;31;311060.0;31007.0;POUSO ALEGRE;2021-02-25;8;29551.0;1401;3;18;0;0.0;0.01401;0.00018
2359;Sudeste;MG;Cambuquira;31;311070.0;31010.0;TRES CORACOES;2021-02-25;8;12814.0;191;1;7;0;0.0;0.00191;7e-05
2360;Sudeste;MG;Campanário;31;311080.0;31096.0;ITAMBACURI;2021-02-25;8;3721.0;85;1;0;0;0.0;0.00085;0.0
2361;Sudeste;MG;Campanha;31;311090.0;31010.0;TRES CORACOES;2021-02-25;8;16665.0;782;8;13;0;0.0;0.00782;0.00013
2362;Sudeste;MG;Campestre;31;311100.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;21055.0;570;1;7;0;0.0;0.0057;7e-05
2363;Sudeste;MG;Campina Verde;31;311110.0;31073.0;ITUIUTABA;2021-02-25;8;19745.0;339;7;14;0;0.0;0.00339;0.00014
2364;Sudeste;MG;Campo Azul;31;311115.0;31049.0;BRASILIA DE MINAS/SAO FRANCISCO;2021-02-25;8;3817.0;52;0;0;0;0.0;0.00052;0.0
2365;Sudeste;MG;Campo Belo;31;311120.0;31089.0;CAMPO BELO;2021-02-25;8;54029.0;2315;0;54;1;0.0;0.02315;0.00054
2366;Sudeste;MG;Campo do Meio;31;311130.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;11655.0;283;0;4;0;0.0;0.00283;4e-05
2367;Sudeste;MG;Campo Florido;31;311140.0;31072.0;UBERABA;2021-02-25;8;8151.0;337;3;1;0;0.0;0.00337;1e-05
2368;Sudeste;MG;Campos Altos;31;311150.0;31070.0;ARAXA;2021-02-25;8;15461.0;443;1;8;0;0.0;0.00443;8e-05
2369;Sudeste;MG;Campos Gerais;31;311160.0;31001.0;ALFENAS / MACHADO;2021-02-25;8;28774.0;535;3;10;0;0.0;0.00535;0.0001
2370;Sudeste;MG;Canaã;31;311170.0;31061.0;VICOSA;2021-02-25;8;4563.0;101;2;1;0;0.0;0.00101;1e-05
2371;Sudeste;MG;Canápolis;31;311180.0;31073.0;ITUIUTABA;2021-02-25;8;12150.0;584;5;12;0;0.0;0.00584;0.00012
2372;Sudeste;MG;Cana Verde;31;311190.0;31089.0;CAMPO BELO;2021-02-25;8;5603.0;160;1;2;0;0.0;0.0016;2e-05
2373;Sudeste;MG;Candeias;31;311200.0;31089.0;CAMPO BELO;2021-02-25;8;14886.0;237;1;3;0;0.0;0.00237;3e-05
2374;Sudeste;MG;Cantagalo;31;311205.0;31080.0;PECANHA/SAO JOAO EVANGELISTA;2021-02-25;8;4525.0;108;0;1;0;0.0;0.00108;1e-05
2375;Sudeste;MG;Caparaó;31;311210.0;31042.0;CARANGOLA;2021-02-25;8;5438.0;282;0;3;0;0.0;0.00282;3e-05
2376;Sudeste;MG;Capela Nova;31;311220.0;31013.0;BARBACENA;2021-02-25;8;4653.0;57;2;2;0;0.0;0.00057;2e-05
2377;Sudeste;MG;Capelinha;31;311230.0;31027.0;TURMALINA/MINAS NOVAS/CAPELINHA;2021-02-25;8;37784.0;852;19;9;1;0.0;0.00852;9e-05
2378;Sudeste;MG;Capetinga;31;311240.0;31091.0;CASSIA;2021-02-25;8;6920.0;293;0;4;0;0.0;0.00293;4e-05
2379;Sudeste;MG;Capim Branco;31;311250.0;31024.0;SETE LAGOAS;2021-02-25;8;9754.0;231;4;4;0;1.0;0.00231;4e-05
2380;Sudeste;MG;Capinópolis;31;311260.0;31073.0;ITUIUTABA;2021-02-25;8;16173.0;1086;12;19;2;0.0;0.01086;0.00019
2381;Sudeste;MG;Capitão Andrade;31;311265.0;31036.0;GOVERNADOR VALADARES;2021-02-25;8;5468.0;191;0;11;0;0.0;0.00191;0.00011
2382;Sudeste;MG;Capitão Enéas;31;311270.0;31051.0;FRANCISCO SA;2021-02-25;8;15234.0;235;0;6;0;0.0;0.00235;6e-05
2383;Sudeste;MG;Capitólio;31;311280.0;31093.0;PIUMHI;2021-02-25;8;8632.0;387;0;12;0;0.0;0.00387;0.00012
2384;Sudeste;MG;Caputira;31;311290.0;31059.0;MANHUACU;2021-02-25;8;9298.0;300;1;7;1;0.0;0.003;7e-05
2385;Sudeste;MG;Caraí;31;311300.0;31067.0;PADRE PARAISO;2021-02-25;8;23685.0;616;4;10;0;0.0;0.00616;0.0001
2386;Sudeste;MG;Caranaíba;31;311310.0;31079.0;CONSELHEIRO LAFAIETE;2021-02-25;8;3183.0;23;0;2;0;0.0;0.00023;2e-05
2387;Sudeste;MG;Carandaí;31;311320.0;31013.0;BARBACENA;2021-02-25;8;25501.0;609;9;8;1;0.0;0.00609;8e-05
2388;Sudeste;MG;Carangola;31;311330.0;31042.0;CARANGOLA;2021-02-25;8;33000.0;1758;0;44;0;0.0;0.01758;0.00044
2389;Sudeste;MG;Caratinga;31;311340.0;31034.0;CARATINGA;2021-02-25;8;92062.0;4778;18;158;1;0.0;0.04778;0.00158
2390;Sudeste;MG;Carbonita;31;311350.0;31026.0;DIAMANTINA;2021-02-25;8;9405.0;64;3;0;0;0.0;0.00064;0.0
2391;Sudeste;MG;Careaçu;31;311360.0;31007.0;POUSO ALEGRE;2021-02-25;8;6757.0;251;0;6;0;0.0;0.00251;6e-05
2392;Sudeste;MG;Carlos Chagas;31;311370.0;31066.0;NANUQUE;2021-02-25;8;18837.0;1141;17;8;0;0.0;0.01141;8e-05
2393;Sudeste;MG;Carmésia;31;311380.0;31020.0;GUANHAES;2021-02-25;8;2632.0;65;0;0;0;0.0;0.00065;0.0
